booktitle,booklink
Do it! 점프 투 파이썬,/product/goods/119293186
파이썬의 도구들,/product/goods/191208982
혼자 공부하는 파이썬,/product/goods/109625396
오렌지3 with 파이썬,/product/goods/191890082
LUVIT♥ EPL과 유튜브 데이터로 배우는 DuckDB,/product/goods/191697558
2026 시나공 빅데이터분석기사 실기 Python,/product/goods/185160480
요즘 바이브 코딩 커서 X 클로드 코드 실전 외주 돈 벌기,/product/goods/187024885
2026 이기적 빅데이터분석기사 실기 Python,/product/goods/154842828
바로바로 바이브 코딩 with 커서 AI,/product/goods/183530330
밑바닥부터 시작하는 딥러닝 1,/product/goods/141787639
Black Hat Python 2/e,/product/goods/108802330
파이썬 코딩의 기술 51 Better Python Code,/product/goods/128897247
Do it! 점프 투 파이썬 + Do it! LLM을 활용한 AI 에이전트 개발 입문 세트,/product/goods/148027839
Do it! LLM을 활용한 AI 에이전트 개발 입문,/product/goods/146036009
파이썬Python과 언어 연구,/product/goods/145654281
Building Machine Learning Systems with Python 한국어판,/product/goods/20296766
인과관계 추론과 발견 with Python,/product/goods/126115088
Python 기반 연구방법론,/product/goods/154230632
데이터과학자를 위한 통계분석 STATA & Python,/product/goods/136298430
핸즈온 그래프 인공신경망 with Python,/product/goods/134867624
코딩 입문 PYTHON,/product/goods/181392342
누구나 쉽게 배우는 Python+Django,/product/goods/151171136
처음 만나는 AI 수학 with Python,/product/goods/96805069
파이썬 딥러닝 파이토치 (Python Deep Learning PyTorch),/product/goods/93376077
